Title,Abstract,Conclusion,Study_Area
Elemental carbon in snow at Changbai Mountain northeastern China concentrations scavenging ratios and dry deposition velocities,"Abstract. Light-absorbing aerosol ?€? particularly elemental carbon (EC) ?€? while mixed with snow and ice is an impor- tant climate driver from the enhanced absorption of solar radiation. Currently, considerable efforts are being made to estimate its radiative forcing on a global scale, but several uncertainties remain, particularly those regarding its depo- sition processes. In this study, concurrent measurements of EC in air and snow are performed for three years (2009?€? 2012) at Changbai station, northeastern China. The scav- enging ratio and the wet- and dry-deposition fluxes of EC over the snow surface are estimated. The mean EC concen- tration in the surface snow is 1000 ?? 1500 ng g???1, ranging from 7 to 7640 ng g???1. The mean value of the scavenging ratio of EC by snow is 140 ?? 100, with a median value of 150, which is smaller than that reported in Arctic areas. A non-rimed snow process is a significant factor in inter- preting differences with Arctic areas. Wet-deposition fluxes of EC are estimated to be 0.47 ?? 0.37 ??g cm???2 month???1 on average over the three snow seasons studied. Dry depo- sition is more than five times higher, with an average of 2.65 ?? 1.93 ??g cm???2 month???1; however, only winter period estimation is possible (December?€?February). During win- ter in Changbai, 87 % of EC in snow is estimated to be due to dry deposition, with a mean dry deposition veloc- ity of 6.44 ?? 10???3 m s???1 and median of 8.14 ?? 10???3 m s???1. Finally, the calculation of the radiative effect shows that 500 ng g???1 of dry-deposited EC to a snow surface absorbs three times more incoming solar energy than the same mass mixed in the snow through wet deposition. Deposition pro-","Measurements of elemental carbon in the snow surface at the Changbai station, northeastern China, were performed over three snow seasons, and the values spanned from 7 to 7640 ng g???1 with a mean of 1000 ?? 1500 ng g???1. The scavenging ratio of EC was derived to be 140 on aver- age, which was in the range of the values reported in the rural area at the same latitude and similar to those re- ported for Arctic areas. Chemical analyses indicated that non-rimed processes tended to be the most common re- moval mechanisms of EC from the atmosphere when wet deposition was considered. The wet-deposition flux was esti- mated to be 0.47 ?? 0.37 ??g cm???2 month???1 in winter, which was three times lower than the dry flux, estimated to be 2.65 ?? 1.93 ??g cm???2 month???1. The mean dry-deposition ve- locity was estimated to be 6.44 ?? 10???3 m s???1, with a median of 8.14 ?? 10???3 m s???1. For the three years studied, 87 % of the EC in the surface snow was attributed to dry deposition. Finally, the radiative transfer calculations showed that dry- deposited BC, at the air?€?snow interface, strongly enhanced the amount of absorbing radiation as compared to the same mass of BC that was wet-deposited, leading to an increase in the melting rate of the snowpack.","['Changbai Mountain', 'Changbai', 'China']"
Elemental carbon in Svalbard snow from local sources and its impact on surface albedo,"Svalbard, a remote archipelago in the Arctic, is affected by both long-range and local pollution. In this thesis, the elemental carbon (EC) concentrations in the snow pack and its effect upon surface albedo have been investigated. The impact of local EC sources for the snow pack have for the first time been estimated. That was done by gathering snow samples from the snow pack along transects around Longyearbyen, Ny-??lesund, and Svea in 2008. Some of these samples were taken in pristine areas. These samples were melted and filtered at UNIS. The final EC analysis was done at ITM in Stockholm. Since this analysis is both expensive and time demanding, an alternative method was investigated. Simple snow stratigraphy investigations were done in every snow pit. This was compared to weather data in order to date the snow layers. Model runs from the Oslo CTM2 chemical transport model were compared with the EC measurements. The local EC emissions in Svalbard were estimated and compared to the long-range transported EC. Finally, a possible relation between EC concentration and the isotope parameter ??18O was investigated.",,"['Oslo', 'Svalbard']"
Elevation dependency of the surface climate change signal a model study,,,[]
Elevationdependent warming in mountain regions of the world,,"Conclusion EDW is a poorly observed phenomenon that requires urgent atten- tion, to ensure that potentially important changes in high-mountain",[]
End of the Little Ice Age in the Alps forced by industrial black carbon,,,['Alps']
Energy balance,,,[]
Energy fluxes at the airsnow interface,Modelling the energy exchange between the snowpack and the atmosphere is critical for,Detailed energy flux measurements over a homogeneous snowpack revealed a significant in-,[]
Enhanced algorithm for estimating snow depth from geostationary satellites,Received 2 August 2005; received in revised form 2 November 2006; accepted 4 November 2006 Abstract,"A new enhanced algorithm for estimating snow depth from satellite observations in the visible spectral band is presented. As compared with the earlier algorithm developed solely for prairie environments, the new technique extends snow depth retrievals to partially forested areas. Estimating snow depth is possible owing to the fact that changing snow depth affects the fraction of the land surface masked by snow and as a result, changes the visible reflectance of the land surface. The relationship between the snow depth and snow fraction is mostly due to low-level vegetation protruding through the snow pack. It is the strongest over plain non-forested areas and decreases in forests and areas with heterogeneous topography.",[]
Enhanced climate change and its detection over the Rocky Mountains,,,['Rocky Mountains']
Enhanced climatic warming in the Tibetan Plateau due to doubling CO2 a model study,"Abstract The National Center for Atmospheric Research (NCAR) regional climate model (RegCM2), together with initial conditions and time-dependent lat- eral boundary conditions provided by a 130-year tran- sient increasing CO2 simulation of the NCAR Climate System Model (CSM), has been used to investigate the mechanism of ground warming over the Tibetan Plateau (TP). The model results show that when CO2 in the at- mosphere is doubled, a strong ground warming occurs in the TP. Two regions within it with the largest warming are in the eastern TP (region I) and along the south- western and western slopes (region II). Moreover, in region I the ground warming in the winter half year is stronger than that in the summer half year, but in region II the warming difference between the seasons becomes opposite to that in region I, i.e., the warming is strong in the summer half year and weak in the winter half year. There are indications that the summer monsoon en- hances but the winter monsoon weakens when CO2 is doubled. A strong elevation dependency of ground warming is found in region I for the winter half year, and in region II for both winter and summer half years at elevations below 5 km. The simulated characteristics of ground warming in the TP are consistent with the observations. In region I, when CO2 is doubled, the",In the next section the model used and experimental design will be outlined. A brief description of the lateral boundary conditions will also be given in this section. Section 3 will show the results simulated from two three- year integrations. Section 4 will discuss the surface en- ergy budget and the relevant atmospheric and surface processes that make impacts on the surface energy exchange. Conclusion and discussion will be presented in Section 5.,['Tibetan Plateau']
Enhanced coldseason warming in semiarid regions,"Abstract. This study examined surface air temperature trends over global land from 1901?€?2009. It is found that the warming trend was particularly enhanced, in the bo- real cold season (November to March) over semi-arid re- gions (with precipitation of 200?€?600 mm yr???1) showing a temperature increase of 1.53 ???C as compared to the global annual mean temperature increase of 1.13 ???C over land. In mid-latitude semi-arid areas of Europe, Asia, and North America, temperatures in the cold season increased by 1.41, 2.42, and 1.5 ???C, respectively. The semi-arid regions con- tribute 44.46 % to global annual-mean land-surface tempera- ture trend. The mid-latitude semi-arid regions in the Northern Hemisphere contribute by 27.0 % of the total, with the mid- latitude semi-arid areas in Europe, Asia, and North Amer- ica accounting for 6.29 %, 13.81 %, and 6.85 %, respectively. Such enhanced semi-arid warming (ESAW) imply drier and warmer trend of these regions.",,['Northern Hemisphere']
Enhanced solar energy absorption by internallymixed black carbon in snow grains,"Abstract. Here we explore light absorption by snowpack containing black carbon (BC) particles residing within ice grains. Basic considerations of particle volumes and BC/snow mass concentrations show that there are generally 0.05?€?109 BC particles for each ice grain. This suggests that internal BC is likely distributed as multiple inclusions within ice grains, and thus the dynamic effective medium approxi- mation (DEMA) (Chy??lek and Srivastava, 1983) is a more ap- propriate optical representation for BC/ice composites than coated-sphere or standard mixing approximations. DEMA calculations show that the 460 nm absorption cross-section of BC/ice composites, normalized to the mass of BC, is typ- ically enhanced by factors of 1.8?€?2.1 relative to interstitial BC. BC effective radius is the dominant cause of variation in this enhancement, compared with ice grain size and BC volume fraction. We apply two atmospheric aerosol models that simulate interstitial and within-hydrometeor BC lifecy- cles. Although only ???2 % of the atmospheric BC burden is cloud-borne, 71?€?83 % of the BC deposited to global snow and sea-ice surfaces occurs within hydrometeors. Key pro- cesses responsible for within-snow BC deposition are devel- opment of hydrophilic coatings on BC, activation of liquid droplets, and subsequent snow formation through riming or ice nucleation by other species and aggregation/accretion of ice particles. Applying deposition fields from these aerosol models in offline snow and sea-ice simulations, we calculate that 32?€?73 % of BC in global surface snow resides within ice grains. This fraction is smaller than the within-hydrometeor deposition fraction because meltwater flux preferentially re- moves internal BC, while sublimation and freezing within snowpack expose internal BC. Incorporating the DEMA into a global climate model, we simulate increases in BC/snow","We have used optical calculations, column radiation model- ing, and global aerosol/snow/climate modeling to quantify plausible ranges of the increase in solar energy absorption associated with BC inclusions in snow grains. Applying the dynamic effective medium approximation (DEMA) (Stroud and Pan, 1978; Chy??lek and Srivastava, 1983) we showed that the 460 nm effective mass absorption cross-section of BC increases by a factor of ???1.8?€?2.1 for ranges of BC inclu- sion size distribution, volume fraction, and snow effective radius expected for natural snow surfaces. BC effective ra- dius introduces the most variability in this enhancement, and is not accounted for with the Maxwell-Garnett and Brugge- man approximations. Various aerosol-cloud interactions can produce multiple internal BC inclusions in precipitating ice hydrometeors, with riming likely the most efficient mecha- nism. We apply two state-of-the-art aerosol-climate models to simulate global within-hydrometeor BC deposition frac- tions of 71?€?83 %, averaged temporally over snow and sea-ice surfaces. The simulated global-mean fraction of BC residing within ice grains of surface snow is 32?€?73 %, smaller than the global deposition fraction because meltwater scavenging, sublimation, and freezing of liquid water preferentially re- move internal BC or transfer it to the external state. Applying a parameterization of the DEMA suitable for global climate models, we calculate that these internal BC concentrations increase the global BC/snow radiative forcing by 34?€?86 % relative to paired control simulations that apply external op- tical properties to all BC. We believe that uncertainty in this forward-derived estimate arises more from uncertain repre- sentation of aerosol-cloud-precipitation interactions than of optical characteristics of BC/ice composites. To our knowl- edge there are no measurements of the relative mass and number concentrations of BC particles within and external to snow grains, but simple arguments considering measured BC mass concentrations and BC/ice particle sizes demonstrate that the number of BC particles per ice grain ranges from 0.05?€?109. In addition to the melt, freeze and sublimation pro- cesses we considered, snow metamorphism likely decreases the proportion of internal BC with time, but simulations with a dry snow aging model show that curvature-driven vapor diffusion does not significantly alter this fraction during the BC lifetime of radiative influence in snow. This modeling study demonstrates that black carbon in snowpack absorbs substantially more solar radiation because of its inclusion in ice grains.",[]
Enhanced stabilisation of sewage sludge through thermal hydrolysisthree years of experience with full scale plant,,,[]
Enhanced tensile ductility and toughness in nanostructured Cu,,,[]
Enhancement of snow albedo reduction and radiative forcing due to coated black carbon in snow,"Abstract. When black carbon (BC) is internally mixed with other atmospheric particles, 1", This study evaluated the effect of BC coating on snow albedo and radiative forcing 3,[]
Entering the Era of Distributed Snow Models Paper presented at EGS XVIII General Assembly Wiesbaden GermanyMay 1993,, 'We are entering an era of distributed snow models'. The authors are convinced,[]
Episodic dust events of Utahs Wasatch Front and adjoining region,,,[]
Equilibrium response of an atmospheremixed layer ocean model to different radiative forcing agents Global and zonal mean response,,,[]
Erosion and exhumation in the Himalaya from cosmogenic isotope inventories of river sediments,,,['Himalaya']
ESA Globsnow Algorithm Theoretical Basis DocumentSWEalgorithm,,,[]
Estimated impact of black carbon deposition during premonsoon season from Nepal Climate ObservatoryPyramid data and snow albedo changes over Himalayan ,"Abstract. The possible minimal range of reduction in snow surface albedo due to dry deposition of black carbon (BC) in the pre-monsoon period (March?€?May) was estimated as a lower bound together with the estimation of its accuracy, based on atmospheric observations at the Nepal Climate Ob- servatory ?€? Pyramid (NCO-P) sited at 5079 m a.s.l. in the Hi- malayan region. A total BC deposition rate was estimated as 2.89 ??g m???2 day???1 providing a total deposition of 266 ??g m???2 for March?€?May at the site, based on a calculation with a minimal deposition velocity of 1.0??10???4 m s???1 with atmo- spheric data of equivalent BC concentration. Main BC size at NCO-P site was determined as 103.1?€?669.8 nm by cor- relation analyses between equivalent BC concentration and particulate size distributions in the atmosphere. The BC de- position from the size distribution data was also estimated. It was found that 8.7% of the estimated dry deposition corre- sponds to the estimated BC deposition from equivalent BC concentration data. If all the BC is deposited uniformly on the top 2-cm pure snow, the corresponding BC concentration is 26.0?€?68.2 ??g kg???1, assuming snow density variations of",,['Nepal']
Estimated range of black carbon dry deposition and the related snow albedo reduction over Himalayan glaciers during dry premonsoon periods,,"In this work, we have estimated the possible uncertainty range of BCDs from different vd and global model outputs. The estimated possible range on BCD and related snow albedo reductions are important in both atmospheric chemistry and climate studies for the Himalayan region. We hope to provide useful data on BCD discussion over Himalayan glaciers due to the significant emissions of BC from open biomass burning and other anthropogenic sources in the region. Currently we do not intend to and cannot, determine the accurate BCD values and snow albedo reductions because there are no observations in details at the southern slope of the Hima- layas for comparison and validation. However, we were able to determine the possible range of BCD and its snow albedo reduc- tions over Himalayan glaciers at this stage of our study. Our results suggest that incorrect specification of surface roughness type such as vegetated surface over the grid point, including glaciers and strong surface wind in regional or global model, cause faster vd and larger amounts BCD over the glaciers. Hence, surface roughness parameter and wind speed are the most critical factor in deter- mining the BCD rates over Himalayan glaciers. The differences arising from BCD rates will eventually lead to further, wider differences on the estimates of glacier retreats over Himalayan and Tibetan regions in global or regional modeling studies. How to estimate vd more accurately at the grid point, which includes snow cover or glacier surface, is the key to assess glacier retreats or seasonal snow melt timings, in terms of the debris-covered area, snow darkening effect due to climate and environmental changes, using climate models. Model projections on glacier retreat, need to include estimates of uncertainties from key factors contributing to glacial mass balance change such as precipitation, wind, debris- covered area, snow aging, solar absorbing impurities in snow (i.e., BC, dust, organic matters, and snow algae), anthropogenic effects from atmospheric heating by the absorbing aerosols, and global warming (e.g., Takeuchi et al., 2001; IPCC, 2007; Flanner et al., 2007, 2009; Fujita, 2008; Lau et al., 2010; Scherler et al., 2011; Yasunari et al., 2011; Aoki et al., 2011).",[]
Estimates of global terrestrial isoprene emissions using MEGAN Model of Emissions of Gases and Aerosols from Nature,"Abstract. Reactive gases and aerosols are produced by ter- restrial ecosystems, processed within plant canopies, and can then be emitted into the above-canopy atmosphere. Esti- mates of the above-canopy fluxes are needed for quantita- tive earth system studies and assessments of past, present and future air quality and climate. The Model of Emissions of Gases and Aerosols from Nature (MEGAN) is described and used to quantify net terrestrial biosphere emission of iso- prene into the atmosphere. MEGAN is designed for both global and regional emission modeling and has global cov- erage with ???1 km2 spatial resolution. Field and laboratory investigations of the processes controlling isoprene emission are described and data available for model development and evaluation are summarized. The factors controlling isoprene emissions include biological, physical and chemical driving variables. MEGAN driving variables are derived from mod- els and satellite and ground observations. Tropical broadleaf trees contribute almost half of the estimated global annual isoprene emission due to their relatively high emission fac- tors and because they are often exposed to conditions that are conducive for isoprene emission. The remaining flux is primarily from shrubs which have a widespread distribu- tion. The annual global isoprene emission estimated with MEGAN ranges from about 500 to 750 Tg isoprene (440 to 660 Tg carbon) depending on the driving variables which include temperature, solar radiation, Leaf Area Index, and plant functional type. The global annual isoprene emission estimated using the standard driving variables is ???600 Tg isoprene. Differences in driving variables result in emis- sion estimates that differ by more than a factor of three for specific times and locations. It is difficult to evaluate iso-","Global geographically-referenced estimates of isoprene emission are necessary for characterizing global carbon cy- cling, distributions of trace gases and aerosols and their radiative forcing, and investigations of regional air quality (Guenther, 2002; Geron et al., 1994; Sanderson et al., 2003). The isoprene emission rates recommended in the mid to late 1990s (e.g., Guenther et al., 1995; Pierce et al., 1998) were more than a factor of two greater than those previ- ously used in regional air quality models and global chem- istry and transport models (e.g., Zimmerman et al., 1979; Pierce and Waldruff, 1991; Muller, 1992). The higher iso- prene emission rates resulted in unrealistically high predic- tions of boundary layer isoprene and ozone concentrations when they were introduced into some chemistry and trans- port models (e.g., Houweling et al., 1998). This led to the de- velopment of global isoprene emission inventories that were based on the Guenther et al. (1995) geographical and sea- sonal emission distributions but included a scaling factor to uniformly reduce emissions by 20% or more (e.g., Houwel- ing et al., 1998; Poisson et al., 2000) or reduce isoprene emis- sions by as much as a factor of three in selected landscapes (Bey et al., 2001). The Intergovernmental Panel on Climate Change (IPCC) Working Group on Atmospheric Chemistry and Greenhouse Gases (Ehhalt and Prather, 2001) recom- mended using a global isoprene emission rate that is 56% lower than the Guenther et al. (1995) estimates. This emis- sion reduction was used to produce chemistry and transport model simulations of CO and isoprene concentrations that were similar to observations. However, the poor model per- formance could have been due to factors other than isoprene emission rates. For example, deposition rates, chemical oxi- dation schemes, or boundary layer dynamics could have been responsible. The ability of other models (e.g., Granier et al., 2000; Sanderson et al., 2003) to simulate reasonable distri- butions of chemical constituents when using annual global isoprene emissions of ???500 Tg carbon (???570 Tg isoprene), indicates that the rates estimated by Guenther et al. (1995) and by MEGAN are not unrealistic. Future improvements in simulations of the relevant chemical, physical, and bio- logical processes in global chemistry and transport models may provide stronger constraints on isoprene emissions. At present, these models neither confirm nor disprove the va- lidity of the emission rates estimated by MEGAN. How- ever, top-down emission estimates based on satellite mea- surements of formaldehyde distributions (see Sect. 6.2) gen- erally agree with the emission rates estimated by MEGAN.",[]
Estimating aerosol effects on cloud radiative forcing,,,[]
Estimating fractional snow cover from MODIS using the normalized difference snow index,"b Raytheon ITSS, 1616 McCormick Drive, Upper Marlboro, MD 20774, USA Received 9 April 2003; received in revised form 14 September 2003; accepted 28 October 2003 Abstract",,['USA']
Estimating shortwave radiative forcing and response in climate models,,The approximate partial radiative perturbation (APRP) method presented here allows shortwave forc- ing and feedback terms in climate models to be sepa- rated into various components in a manner conceptu-,[]
Estimating snow grain size using AVIRIS data,,,[]
Estimating snowcover trends from space,,,[]
Estimating surface reflectance and albedo from Landsat5 Thematic Mapper over rugged terrain,,,[]
estimation of black carbon deposition from Nepal Climate ObservatoryPyramid data and its possible impact on snow albedo changes over Himalayan glaciers ,"The possible minimal range of reduction in snow surface albedo due to dry deposi- tion of black carbon (BC) in the pre-monsoon period (March?€?May) was estimated as a lower bound together with the estimation of its accuracy, based on atmospheric ob- servations at the Nepal Climate Observatory-Pyramid (NCO-P) sited at 5079 m a.s.l. in5 the Himalayan region. We estimated a total BC deposition rate of 2.89 ??g m???2 day???1","We estimated a BCD amount of 266 ??g m???2(=2.89 ??g m???2 day???1) from dry deposition during pre-monsoon season over a Himalayan glacier at similar altitude of NCO-P site. Assuming the BCD is distributed uniformly on a pure 2-cm surface snow layer, we esti-20 mated BCC of 26.0?€?68.2 ??g kg???1 within the range of the density at Yala glacier, which is in good agreement with the observations from southwestern China?€?s glaciers. Hence, our estimated BCC range is considered to be realistic as lower bound BCC level at southern slopes of Himalayas. Assuming that the BCC range in snow is also repre- sentative near NCO-P and estimating albedo reductions by the BCC, the decreases of25 surface snow albedo of 2.0?€?5.2% were expected. If we assume these albedo reduc- tions continues throughout the year, a possible 70?€?204 mm of water equivalent runoff","['Yala', 'Nepal']"
Estimation of superficial snow specific surface area from spectral albedo timeseries at Dome C Antarctica,Abstract. Spectral albedo of the snow surface in the visible/near-infrared range has been measured,"This study presents Autosolexs, a multi-channel spectral radiometer used to automatically measure700","['Dome C Antarctica', 'C Antarctica']"
European insitu snow measurements Practices and purposes,"Abstract: In-situ snow measurements conducted by European institutions for operational, research, and energy business applications were surveyed in the framework of the European Cooperation in Science and Technology (COST) Action ES1404, called ?€?A European network for a harmonised monitoring of snow for the benefit of climate change scenarios, hydrology, and numerical weather prediction?€?. Here we present the results of this survey, which was answered by 125 participants from 99 operational and research institutions, belonging to 38 European countries. The typologies of environments where the snow measurements are performed range from mountain to low elevated plains, including forests, bogs, tundra, urban areas, glaciers, lake ice, and sea ice. Of the respondents, 93% measure snow macrophysical parameters, such as snow presence, snow depth (HS), snow water equivalent (SWE), and snow density. These describe the bulk characteristics of the whole snowpack or of a snow layer, and they are the primary snow properties that are needed for most operational applications (such as hydrological monitoring, avalanche forecast, and weather forecast). In most cases, these measurements are done with manual methods, although for snow presence, HS, and SWE, automatized methods are also applied by some respondents. Parameters characterizing precipitating and suspended snow (such as the height of new snow, precipitation intensity, flux of drifting/blowing snow, and particle size distribution), some of which are crucial for the operational services, are measured by 74% of the respondents. Parameters characterizing the snow microstructural properties (such as the snow grain size and shape, and specific surface area), the snow electromagnetic properties (such as albedo, brightness temperature, and backscatter), and the snow composition (such as impurities and isotopes) are measured by 41%, 26%, and 13% of the respondents, respectively, mostly for research applications. The results of this survey are discussed from the perspective of the need of enhancing the efficiency and coverage of the in-situ observational network applying automatic and cheap measurement methods. Moreover, recommendations for the enhancement and harmonization of the observational network and measurement practices are provided.",,[]
Evaluating the Utah Energy Balance UEB snow model in the Noah landsurface model,"Abstract. Noah (version 2.7.1), the community land- surface model (LSM) of National Centers for Environmen- tal Predictions-National Center for Atmospheric Research (NCEP-NCAR), which is widely used to describe the land- surface processes either in stand-alone or in coupled land- atmospheric model systems, is recognized to underestimate snow?€?water equivalent (SWE). Noah?€?s SWE bias can be at- tributed to its simple snow sub-model, which does not ef- fectively describe the physical processes during snow ac- cumulation and melt period. To improve SWE simulation in the Noah LSM, the Utah Energy Balance (UEB) snow model is implemented in Noah to test alternate snow surface temperature and snowmelt outflow schemes. Snow surface temperature was estimated using the force-restore method and snowmelt event is regulated by accounting for the in- ternal energy of the snowpack. The modified Noah?€?s SWE simulations are compared with the SWE observed at Cali- fornia?€?s NRCS SNOTEL stations for 7 water years: 2002?€? 2008, while the model?€?s snow surface temperature is veri- fied with observed surface-temperature data at an observa- tion site in Utah. The experiments show that modification in Noah?€?s snow process substantially reduced SWE estimation bias while keeping the simplicity of the Noah LSM. The re- sults suggest that the model did not benefit from the alternate temperature representation but primary improvement can be attributed to the substituted snowmelt process.","The Noah LSM has been identified to under predict snow?€? water equivalent throughout the snow season and melt away all the snow early in spring. The control model simulates snowpack as a single layer and estimates the snow surface temperature based on the energy flux on the snow surface and the air temperature above the snow surface. When the snow- pack is at freezing temperature (0 ???C), snow starts to melt. In reality, snow temperature is not the only determining factor for snowmelt. To begin snow melting, the entire snowpack is required to be isothermal and the modified Noah model, like UEB model, determines this by accounting for internal energy of the snowpack. This melt water does not instantly become runoff but remains within the warm snowpack up to the liquid-water holding capacity. Once this water-holding capacity is exceeded, snowmelt becomes runoff.",[]
Evaluation of CLASS snow simulation over eastern Canada,,,['Canada']
Evaluation of empirical formulae for determination of hydraulic conductivity based on grainsize analysis,Abstract: Several empirical equations to calculate hydraulic conductivity using grain size distribution of," Based on the aforementioned analysis and results, the following conclusions can be drawn:",[]
Evaluation of MODIS albedo product MCD43A over grassland agriculture and forest surface types during dormant and snowcovered periods,,"75Z. Wang et al. / Remote Sensing of Environment 140 (2014) 60?€?77 addition to the site single pixel comparison, we also compare the pre- dicted and observed reflectances over a large 200 km by 300 km area in tile h12v04 including Harvard Forest for DOY 90 in 2006 (Figs. 11 and 12). For MCD43A quality flag, full inversions (high quality) are in black, magnitude inversions (poor quality) are in gray and filled values are in white. For observations quality flag, clear sky (cloud-free and low aerosol) observations over land are in the black in Fig. 11. The BRDF parameters were retrieved with the observations from DOY 73 to DOY 88. DOY 89 was not used here because of widespread cloudiness. Predicted reflectances are calculated with the same illumination and viewing angles as the actual observations. The correlation coefficient is 0.87 (R2 = 0.76) for red band and 0.84 (R-square = 0.71) for NIR band over clear sky pixels on land if both full inversion and magnitude inversions are considered. The biases are within 0.012 and RMSE are less than 0.025 for both red and NIR bands of full inversions andmagni- tude inversions (Table 5). The number of full inversions pixels is 117,966 while there are only 919 pixels of the magnitude inversions. The correlation coefficient of the magnitude inversions for the NIR is actually a little larger than the values achieved from just full inversions. However, the bias and RMSE of the magnitude inversions are all much worse than the full inversions. 5. Conclusions",[]
Evaluation of radar multiple scattering effects in CloudSat configuration,"Abstract. MonteCarlo simulations have been performed to evaluate the importance of multiple scattering effects in co- and cross-polar radar returns for 94 GHz radars in Cloudsat and airborne configurations. Thousands of vertically struc- tured profiles derived from some different cloud resolving models are used as a test-bed. Mie theory is used to de- rive the single scattering properties of the atmospheric hy- drometeors. Multiple scattering effects in the co-polar chan- nel (reflectivity enhancement) are particularly elusive, espe- cially in airborne configuration. They can be quite consis- tent in satellite configurations, like CloudSat, especially in regions of high attenuation and in the presence of highly forward scattering layers associated with snow and graupel particles. When the cross polar returns are analysed [but note that CloudSat does not measure any linear depolariza- tion ratio (LDR hereafter)], high LDR values appear both in space and in airborne configurations. The LDR signatures are footprints of multiple scattering effects; although depo- larization values as high as ???5 dB can be generated including non-spherical particles in single scattering modelling, multi- ple scattering computations can produce values close to com- plete depolarization (i.e. LDR=0 dB). Our simulated LDR profiles from an air-borne platform well reproduce, in a sim- ple frame, some experimental observations collected during the Wakasa Bay experiment. Since LDR instrumental uncer- tainties were not positively accounted for during that exper- iment, more focused campaigns with air-borne polarimetric radar are recommended. Multiple scattering effects can be important for CloudSat applications like rainfall and snow- fall retrievals since single scattering based algorithms will be otherwise burdened by positive biases.",The relevance of MS effects has been evaluated for the CloudSat configuration both for reflectivity enhancement and for the LDR signal (although such a quantity is not measured in the actual Cloud Profiling Radar of CloudSat). The sim- plified study conducted on a uniform layer reveals that large scattering optical thickness and asymmetry parameters are key factors in enhancing MS effects.,['Wakasa Bay']
Evaluation of Sentinel2A surface reflectance derived using Sen2Cor in North America,"Abstract?€?Surface reflectance can be derived from satellite mea- surements for the top of atmosphere and provides an important dataset for monitoring land change reliably. In this study, the Sentinel-2A surface reflectance was generated using the Sentinel-2 atmospheric correction (Sen2Cor) processor. To evaluate this dataset, surface data at 40 sites of the aerosol robotic network over North America from January 2016 to August 2017 were collected and processed. The surface reflectance reference was derived from the second simulation of the satellite signal in the solar spectrum?€? vector (6SV) code. The aerosol optical thickness (AOT), water va- por, surface reflectance, and three spectral indices generated by Sen2Cor were evaluated using the metrics including the accuracy, precision, and uncertainty (A, P, and U). The results show that due to the limitations of Sen2Cor aerosol retrieval algorithm, the Sentinel-2A AOT was significantly overestimated, with the relative accuracy over 160%. The Sen2Cor surface reflectance is generally overestimated, especially for the bright pixels, except for the cirrus band. For the 12 Sentinel-2A bands, the mean values of relative A, P, and U are 4.15%, 13.44%, and 14.92%, respectively. Among the three spectral indices, the normalized difference vegetation index performs best, with a correlation coefficient of 0.973 against the surface data. Furthermore, the Sen2Cor surface reflectance was compared with other satellite products. The mean correlation co- efficient between Sentinel-2A and Landsat 8 surface reflectance is found to be 0.761. This study suggests that a better AOT retrieval is critical for improvement of Sen2Cor in the future.",,['North America']
Evaluation of spaceborne Lband radiometer measurements for terrestrial freezethaw retrievals in Canada,"Abstract?€?The landscape freeze/thaw (F/T) state has an impor- tant impact on the surface energy balance, carbon fluxes, and hydrologic processes; the timing of spring melt is linked to active layer dynamics in permafrost areas. L-band (1.4 GHz) microwave emission could allow the monitoring of surface state dynamics due to its sensitivity to the pronounced permittivity difference between frozen and thawed soil. The aim of this paper is to evaluate the per- formance of both Aquarius and soil moisture and ocean salinity (SMOS) L-band passive microwave measurements using a polar- ization ratio (PR)-based algorithm for landscape F/T monitoring. Weekly L-band satellite observations are compared with a large set of reference data at 48 sites across Canada spanning three environments: 1) tundra; 2) boreal forest; and 3) prairies. The reference data include in situ measurements of soil temperature (Tsoil) and air temperature (Tair), and moderate resolution imag- ing spectroradiometer (MODIS) land surface temperature (LST) and snow cover area (SCA) products. Results show generally good agreement between L-band F/T detection and the surface state estimated from four reference datasets. The best apparent accu- racies for all seasons are obtained using Tair as the reference. Aquarius radiometer 2 (incidence angle of 39.6???) data give the best accuracies (90.8%), while for SMOS, using the Aquarius temporal characteristics, the best results (87.8% of accuracy) are obtained at higher incidence angles (55??????60???). The F/T algorithm iden- tifies both freeze onset and end with a delay of about 1 week in tundra and 2 weeks in forest and prairies, when compared to Tair. The analysis shows a stronger F/T signal at tundra sites due to the typically clean transitions between consistently frozen and thawed conditions (and vice versa) and the absence of surface vegetation. Results in the prairies were poorer because of the influence of",,['Canada']
Evaluation of the MODIS MOD10A1 daily snow albedo product over the Greenland ice sheet,Received 23 January 2006; received in revised form 14 June 2006; accepted 19 June 2006 Abstract,This paper provides an evaluation of the performance of the beta-test MODIS daily albedo product (e.g. MOD10A1 and MYD10A1) using in situ data collected in Greenland during 2004. Results indicate an overall RMS error of 0.067 for the Terra instrument (MOD10A1) and an RMS error of 0.075 on Aqua (MYD10A1) through comparisons with in situ observa- tions at five automatic weather stations in Greenland. The Terra- derived daily albedo have a correlation coefficient of 0.79 while the Aqua daily albedo observations are slightly less correlated with the automatic weather station (AWS) data (r=0.77).,"['Greenland.', 'Greenland']"
Evaluation of the updated regional climate model RACMO2 3 summer snowfall impact on the Greenland Ice Sheet,Abstract. We discuss Greenland Ice Sheet (GrIS) surface,An updated physics package has been implemented in the,['Greenland']
